,hex_name,short_name,polys,lines,centroids,label_loc,long,lat
2510,835310fffffffff,835310,"POLYGON ((25.222332208981157 37.72423809008558, 24.56735659868453 37.61072404617028, 24.158788122531462 38.159134596531786, 24.4007814343698 38.819479082709634, 25.051614058133957 38.93914361554637, 25.4646138384771 38.39238476561453, 25.222332208981157 37.72423809008558))","LINESTRING (25.222332208981157 37.72423809008558, 24.56735659868453 37.61072404617028, 24.158788122531462 38.159134596531786, 24.4007814343698 38.819479082709634, 25.051614058133957 38.93914361554637, 25.4646138384771 38.39238476561453, 25.222332208981157 37.72423809008558)",POINT (24.811956267843616 38.273552791613845),"(24.811925357153058, 38.275759681073154)",24.811925357153058,38.275759681073154
2511,835340fffffffff,835340,"POLYGON ((25.272373247574752 48.53527161206581, 24.661762333849367 48.37159273308668, 24.24039193526535 48.82325905645909, 24.425897348983156 49.43426234133949, 25.03076489171521 49.60160584546023, 25.45585770347466 49.15435733504352, 25.272373247574752 48.53527161206581))","LINESTRING (25.272373247574752 48.53527161206581, 24.661762333849367 48.37159273308668, 24.24039193526535 48.82325905645909, 24.425897348983156 49.43426234133949, 25.03076489171521 49.60160584546023, 25.45585770347466 49.15435733504352, 25.272373247574752 48.53527161206581)",POINT (24.84878858721487 48.985835232421856),"(24.84872312707996, 48.988808195751304)",24.84872312707996,48.988808195751304
2512,8343a1fffffffff,8343a1,"POLYGON ((24.86324383873259 54.21384306646866, 24.394346049381884 54.63673345585138, 24.43834765304711 55.291688275781944, 24.954908284678716 55.532660596180435, 25.430799341940997 55.109961767811754, 25.383086727892127 54.44600653926309, 24.86324383873259 54.21384306646866))","LINESTRING (24.86324383873259 54.21384306646866, 24.394346049381884 54.63673345585138, 24.43834765304711 55.291688275781944, 24.954908284678716 55.532660596180435, 25.430799341940997 55.109961767811754, 25.383086727892127 54.44600653926309, 24.86324383873259 54.21384306646866)",POINT (24.912232912998377 54.872257826290706),"(24.912019191631448, 54.87334761183156)",24.912019191631448,54.87334761183156
2513,835308fffffffff,835308,"POLYGON ((25.34661973309754 43.27623769262363, 24.711710334731315 43.13494825182497, 24.29368344973209 43.63711405905693, 24.506401168729383 44.277407375094256, 25.136196991972326 44.42364113128483, 25.558390421339865 43.924715611607624, 25.34661973309754 43.27623769262363))","LINESTRING (25.34661973309754 43.27623769262363, 24.711710334731315 43.13494825182497, 24.29368344973209 43.63711405905693, 24.506401168729383 44.277407375094256, 25.136196991972326 44.42364113128483, 25.558390421339865 43.924715611607624, 25.34661973309754 43.27623769262363)",POINT (24.92650018791296 43.778219914036214),"(24.926443418049477, 43.780914835332275)",24.926443418049477,43.780914835332275
2514,835316fffffffff,835316,"POLYGON ((25.38453949656259 36.49467897724119, 24.72567602275491 36.38757584764919, 24.319292442708996 36.946198572272756, 24.56735659868453 37.61072404617028, 25.222332208981157 37.72423809008558, 25.63315237413226 37.16688494308337, 25.38453949656259 36.49467897724119))","LINESTRING (25.38453949656259 36.49467897724119, 24.72567602275491 36.38757584764919, 24.319292442708996 36.946198572272756, 24.56735659868453 37.61072404617028, 25.222332208981157 37.72423809008558, 25.63315237413226 37.16688494308337, 25.38453949656259 36.49467897724119)",POINT (24.9764413288285 37.05445935476109),"(24.976412689551747, 37.05654175767806)",24.976412689551747,37.05654175767806
2515,8343a8fffffffff,8343a8,"POLYGON ((24.996691085955494 56.19784582549143, 24.518438054536826 56.612847885239056, 24.55441339286325 57.278762150527186, 25.071862472275384 57.53902976133647, 25.55711666017353 57.124963680831264, 25.51787582089804 56.449590933100644, 24.996691085955494 56.19784582549143))","LINESTRING (24.996691085955494 56.19784582549143, 24.518438054536826 56.612847885239056, 24.55441339286325 57.278762150527186, 25.071862472275384 57.53902976133647, 25.55711666017353 57.124963680831264, 25.51787582089804 56.449590933100644, 24.996691085955494 56.19784582549143)",POINT (25.037536082279505 56.867573011232544),"(25.0372551897061, 56.86890578303516)",25.0372551897061,56.86890578303516
2516,835346fffffffff,835346,"POLYGON ((25.509716936817732 47.448767341645144, 24.893471360871605 47.289038503515094, 24.471400905895496 47.7525235817531, 24.661762333849367 48.37159273308668, 25.272373247574752 48.53527161206581, 25.698247638371804 48.07600882878312, 25.509716936817732 47.448767341645144))","LINESTRING (25.509716936817732 47.448767341645144, 24.893471360871605 47.289038503515094, 24.471400905895496 47.7525235817531, 24.661762333849367 48.37159273308668, 25.272373247574752 48.53527161206581, 25.698247638371804 48.07600882878312, 25.509716936817732 47.448767341645144)",POINT (25.085455795023584 47.91132440284817),"(25.08538431132115, 47.914266205268106)",25.08538431132115,47.914266205268106
2517,83530efffffffff,83530e,"POLYGON ((25.55055395667235 42.110681898787846, 24.910712313479486 41.97462737176898, 24.493398006369556 42.48819380833224, 24.711710334731315 43.13494825182497, 25.34661973309754 43.27623769262363, 25.76815421841467 42.76561600586991, 25.55055395667235 42.110681898787846))","LINESTRING (25.55055395667235 42.110681898787846, 24.910712313479486 41.97462737176898, 24.493398006369556 42.48819380833224, 24.711710334731315 43.13494825182497, 25.34661973309754 43.27623769262363, 25.76815421841467 42.76561600586991, 25.55055395667235 42.110681898787846)",POINT (25.13120194101166 42.62428708866366),"(25.131143904989376, 42.62690490710108)",25.131143904989376,42.62690490710108
2518,833e4bfffffffff,833e4b,"POLYGON ((25.53775691575591 35.2513517446814, 24.87527620327206 35.15090987944165, 24.471438344063206 35.71942392070403, 24.72567602275491 36.38757584764919, 25.38453949656259 36.49467897724119, 25.79280664654855 35.92703518838541, 25.53775691575591 35.2513517446814))","LINESTRING (25.53775691575591 35.2513517446814, 24.87527620327206 35.15090987944165, 24.471438344063206 35.71942392070403, 24.72567602275491 36.38757584764919, 25.38453949656259 36.49467897724119, 25.79280664654855 35.92703518838541, 25.53775691575591 35.2513517446814)",POINT (25.132305950207336 35.82128193841395),"(25.13228025517551, 35.823229554544724)",25.13228025517551,35.823229554544724
2519,834236fffffffff,834236,"POLYGON ((25.10513932447103 58.21471594144735, 24.61795636678699 58.620492916117506, 24.645423733598466 59.295987229404346, 25.162814015472392 59.57545541053226, 25.656958811829096 59.17138716066256, 25.626712641692894 58.486029334751855, 25.10513932447103 58.21471594144735))","LINESTRING (25.10513932447103 58.21471594144735, 24.61795636678699 58.620492916117506, 24.645423733598466 59.295987229404346, 25.162814015472392 59.57545541053226, 25.656958811829096 59.17138716066256, 25.626712641692894 58.486029334751855, 25.10513932447103 58.21471594144735)",POINT (25.13732639025585 58.894363700554365),"(25.136979781907087, 58.89594003839004)",25.136979781907087,58.89594003839004
